
Displacement
 ==================== 
Displacement X,Displacement Y,Displacement Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement,1,1000224458,224458,
0,0,0,um,Surface,Displacement,1,1000224459,224459,
0,0,0,um,Surface,Displacement,1,1000224460,224460,
0,0,0,um,Surface,Displacement,1,1000224461,224461,
0,0,0,um,Surface,Displacement,1,1000224462,224462,
0,0,0,um,Surface,Displacement,1,1000224463,224463,
0,0,0,um,Surface,Displacement,1,1000224464,224464,
0,0,0,um,Surface,Displacement,1,1000224465,224465,
0,0,0,um,Surface,Displacement,1,1000224466,224466,
0,0,0,um,Surface,Displacement,1,1000224467,224467,
0,0,0,um,Surface,Displacement,1,1000224468,224468,
0,0,0,um,Surface,Displacement,1,1000224469,224469,
0,0,0,um,Surface,Displacement,1,1000224470,224470,
0,0,0,um,Surface,Displacement,1,1000224471,224471,
0,0,0,um,Surface,Displacement,1,1000224472,224472,
0,0,0,um,Surface,Displacement,1,1000224473,224473,
0,0,0,um,Surface,Displacement,1,1000224474,224474,
0,0,0,um,Surface,Displacement,1,1000224475,224475,
0,0,0,um,Surface,Displacement,1,1000224476,224476,
0,0,0,um,Surface,Displacement,1,1000224477,224477,
0,0,0,um,Surface,Displacement,1,1000224478,224478,
0,0,0,um,Surface,Displacement,1,1000224479,224479,
0,0,0,um,Surface,Displacement,1,1000224480,224480,
0,0,0,um,Surface,Displacement,1,1000224481,224481,
0,0,0,um,Surface,Displacement,1,1000224482,224482,
0,0,0,um,Surface,Displacement,1,1000224483,224483,
0,0,0,um,Surface,Displacement,1,1000224484,224484,
0,0,0,um,Surface,Displacement,1,1000224485,224485,
0,0,0,um,Surface,Displacement,1,1000224486,224486,
0,0,0,um,Surface,Displacement,1,1000224487,224487,
0,0,0,um,Surface,Displacement,1,1000224488,224488,
0,0,0,um,Surface,Displacement,1,1000224489,224489,
0,0,0,um,Surface,Displacement,1,1000224490,224490,
0,0,0,um,Surface,Displacement,1,1000224491,224491,
0,0,0,um,Surface,Displacement,1,1000224492,224492,
0,0,0,um,Surface,Displacement,1,1000224493,224493,
0,0,0,um,Surface,Displacement,1,1000224494,224494,
0,0,0,um,Surface,Displacement,1,1000224495,224495,
0,0,0,um,Surface,Displacement,1,1000224496,224496,
0,0,0,um,Surface,Displacement,1,1000224497,224497,
0,0,0,um,Surface,Displacement,1,1000224498,224498,
0,0,0,um,Surface,Displacement,1,1000224499,224499,
0,0,0,um,Surface,Displacement,1,1000224500,224500,
0,0,0,um,Surface,Displacement,1,1000224501,224501,
0,0,0,um,Surface,Displacement,1,1000224502,224502,
0,0,0,um,Surface,Displacement,1,1000224503,224503,
0,0,0,um,Surface,Displacement,1,1000224504,224504,
0,0,0,um,Surface,Displacement,1,1000224505,224505,
0,0,0,um,Surface,Displacement,1,1000224506,224506,
0,0,0,um,Surface,Displacement,1,1000224507,224507,
0,0,0,um,Surface,Displacement,1,1000224508,224508,
0,0,0,um,Surface,Displacement,1,1000224509,224509,
0,0,0,um,Surface,Displacement,1,1000224510,224510,
0,0,0,um,Surface,Displacement,1,1000224511,224511,
0,0,0,um,Surface,Displacement,1,1000224512,224512,
0,0,0,um,Surface,Displacement,1,1000224513,224513,
0,0,0,um,Surface,Displacement,1,1000224514,224514,
0,0,0,um,Surface,Displacement,1,1000224515,224515,
0,0,0,um,Surface,Displacement,1,1000224516,224516,
0,0,0,um,Surface,Displacement,1,1000224517,224517,
0,0,0,um,Surface,Displacement,1,1000224518,224518,
0,0,0,um,Surface,Displacement,1,1000224519,224519,
0,0,0,um,Surface,Displacement,1,1000224520,224520,
0,0,0,um,Surface,Displacement,1,1000224521,224521,
0,0,0,um,Surface,Displacement,1,1000224522,224522,
0,0,0,um,Surface,Displacement,1,1000224523,224523,
0,0,0,um,Surface,Displacement,1,1000224524,224524,
0,0,0,um,Surface,Displacement,1,1000224525,224525,
0,0,0,um,Surface,Displacement,1,1000224526,224526,
0,0,0,um,Surface,Displacement,1,1000224527,224527,
0,0,0,um,Surface,Displacement,1,1000224528,224528,
0,0,0,um,Surface,Displacement,1,1000224529,224529,
0,0,0,um,Surface,Displacement,1,1000224530,224530,
0,0,0,um,Surface,Displacement,1,1000224531,224531,
0,0,0,um,Surface,Displacement,1,1000224532,224532,
0,0,0,um,Surface,Displacement,1,1000224533,224533,
0,0,0,um,Surface,Displacement,1,1000224534,224534,
0,0,0,um,Surface,Displacement,1,1000224535,224535,
0,0,0,um,Surface,Displacement,1,1000224536,224536,
0,0,0,um,Surface,Displacement,1,1000224537,224537,
0,0,0,um,Surface,Displacement,1,1000224538,224538,
0,0,0,um,Surface,Displacement,1,1000224539,224539,
0,0,0,um,Surface,Displacement,1,1000224540,224540,
0,0,0,um,Surface,Displacement,1,1000224541,224541,
0,0,0,um,Surface,Displacement,1,1000224542,224542,
0,0,0,um,Surface,Displacement,1,1000224543,224543,
0,0,0,um,Surface,Displacement,1,1000224544,224544,
0,0,0,um,Surface,Displacement,1,1000224545,224545,
0,0,0,um,Surface,Displacement,1,1000224546,224546,
0,0,0,um,Surface,Displacement,1,1000224547,224547,
0,0,0,um,Surface,Displacement,1,1000224548,224548,
0,0,0,um,Surface,Displacement,1,1000224549,224549,
0,0,0,um,Surface,Displacement,1,1000224550,224550,
0,0,0,um,Surface,Displacement,1,1000224551,224551,
0,0,0,um,Surface,Displacement,1,1000224552,224552,
0,0,0,um,Surface,Displacement,1,1000224553,224553,
0,0,0,um,Surface,Displacement,1,1000224554,224554,
0,0,0,um,Surface,Displacement,1,1000224555,224555,
0,0,0,um,Surface,Displacement,1,1000224556,224556,
0,0,0,um,Surface,Displacement,1,1000224557,224557,
0,0,0,um,Surface,Displacement,1,1000224558,224558,
0,0,0,um,Surface,Displacement,1,1000224559,224559,
0,0,0,um,Surface,Displacement,1,1000224560,224560,
0,0,0,um,Surface,Displacement,1,1000224561,224561,
0,0,0,um,Surface,Displacement,1,1000224562,224562,
0,0,0,um,Surface,Displacement,1,1000224563,224563,
0,0,0,um,Surface,Displacement,1,1000224564,224564,
0,0,0,um,Surface,Displacement,1,1000224565,224565,
0,0,0,um,Surface,Displacement,1,1000224566,224566,
0,0,0,um,Surface,Displacement,1,1000224567,224567,
0,0,0,um,Surface,Displacement,1,1000224568,224568,
0,0,0,um,Surface,Displacement,1,1000224569,224569,
0,0,0,um,Surface,Displacement,1,1000224570,224570,
0,0,0,um,Surface,Displacement,1,1000224571,224571,
0,0,0,um,Surface,Displacement,1,1000224572,224572,
